Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta v0 alpha0 beta0 v1 alpha1 beta1 t0 t_t i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai i alphai betai
0.0 61.84937638532972 -23668.998413085938 6413038.594161987 15215431.244699001 1844.1113011177276 2295.568287151189 -237.32314069031844 69909037.58733463 808.8493763853297 71491300394.81021 0.1241160050081141 0.9998279720376524 2.139659657243451 -4.107889634842791 0.5635850283252477 567.6753456842431 6.115435041682763 2.8052402331122357 1527.6572261273013 4.258683245570938 3.021802931567563 7866.115542354828 69909037.58733463 0.9690040298209964 1.5547273608111418 0.08412727957162446 0.7070598346213767 3.0051828096804707 2.9938564824387597 0.12416457834320861 0.7895398047513027 -0.11899083067937657 0.829139636287224 0.4848104632442894 -0.4642348740847195 0.8159956836451228 -0.25516567022219083 -0.2782603654369943 2.073619607895013e-17 0.0 0.0 2.565925202025735e-16 0.0 0.0 7.664770885417633e-18 0.0 0.0 3.2684032542612292e-18 0.0 0.0 4.822690788588932e-18 0.0 0.0 1.2101865188919431e-18 0.0 0.0
0.0 72.73591863812999 72418690.2098999 3666568.0157585144 -1156229.8964538574 2391.2902822980413 1514.075543193234 108.30410258551342 59616569.28546279 819.73591863813 69099771219.13376 0.11204742658763948 0.999566954715045 0.26121736114054217 -2.2116034921394343 -1.6941775811394868 118.51210612724995 0.058458989392036045 2.3487386432619974 530.972697625793 4.861935713512891 3.114592602016942 7240.085148707543 59616569.28546279 0.9999999999999931 -3.141592653579142 0.39408997732707046 0.7351432843556559 3.141592653589787 3.1399364227640927 0.9974220292789329 -0.0912825254540753 -0.2246167318342472 0.999999999997081 -0.29156676594182535 -0.12964715812283698 0.9866539253813248 -0.048114627139972686 -0.26763503045841236 0.0 0.0 0.0 6.228290745209744e-20 0.0 0.0 3.0145606761923826e-18 0.0 0.0 1.3529046806784206e-17 0.0 0.0 5.98358708637082e-20 0.0 0.0 2.3837819671275804e-17 0.0 0.0
0.0 105.70445118403313 15503115.493988037 -22320259.9316864 23859353.52281809 6469.4577811652525 -620.7412567563551 -266.41669452519477 101204224.08875895 852.7044511840331 133729809588.3749 0.11579172689348154 0.999969936117808 -0.32095605510390346 -2.95341559508332 2.202777000519499 3155.215034735054 2.4355087491978837 6.102058643370551 1579.5286749686052 4.928881603675295 0.03570492768648231 7459.077414883004 101204224.08875895 0.9960387452727649 0.8665781865368349 0.09118807807467876 0.9636391881232234 -0.3630030273907166 -0.18289507144250844 0.9999999975785189 -0.5225095466087967 0.005467436085496039 0.9999999964079302 -0.6448411937612276 -0.02414343771797421 1.2003997884749471e-11 0.0 0.0 7.735807947327382e-16 0.0 0.0 7.339279818307399e-16 0.0 0.0 8.122210666564762e-16 0.0 0.0 7.582552698410835e-16 0.0 0.0 7.381859926818408e-16 0.0 0.0 8.144738352315727e-16 0.0 0.0
0.0 58.69007867865923 -20244523.2421875 -14969244.814285278 -20535478.20540905 3450.690221007404 3298.1278119226263 225.91392677200594 71983330.47920404 805.6900786786592 27827025562.035095 0.1524285510195214 0.9997335708155214 -1.5228600763185782 0.16750873694327775 -1.6865240703276572 3034.701270212289 0.34670032556695835 2.5173325547955603 1049.8774084640525 0.8454817776283257 2.893686919978021 7323.1928035189485 71983330.47920404 0.5387821952009455 2.639180014224474 -0.11837473933030225 0.2678641689316332 1.3164525684290715 1.4450097561833604 0.815460574642228 1.0932477365386355 0.4077201967442121 0.823616776641385 0.8937616865805751 0.5385703726818166 0.7357375748683457 0.6258475784754675 0.48865381407346237 2.420173953000476e-16 0.0 0.0 8.190152873543896e-17 0.0 0.0 6.611462745473867e-17 0.0 0.0 1.2644898619120193e-16 0.0 0.0 3.950920446546611e-17 0.0 0.0 4.0852051174577865e-16 0.0 0.0
1.0 54.512983374225655 -9151468.155914307 -8919745.599105835 12428593.760499954 -1534.0092115854095 188.59674037514196 -56.58184669505977 69607660.64688191 801.5129833742257 23032254299.12271 0.027849832489313664 0.9985025112050316 0.5957722161689414 -0.11231120673059639 3.2753457244590485 2054.5135850912693 5.083978641780754 3.0895729007559267 3069.0725353905714 3.3592416342545564 6.118422058694442 7221.825069906239 69607660.64688191 0.0 0.0 0.0 0.06398300318077821 -0.6401410230394246 0.09232687055939011 0.9999999999999607 -1.149270045970021 -0.16767958262785732 0.9999815669660999 -1.0071188382755332 -0.5800475607184075 0.9999684400337977 -1.0313524408470673 -0.7060180168123292 7.988504601200368e-17 0.0 0.0 3.575628452369592e-20 0.0 0.0 4.931527985927263e-18 0.0 0.0 1.4769211107448905e-18 0.0 0.0 1.7276059772116692e-19 0.0 0.0 1.7051673784957594e-19 0.0 0.0
0.0 144.57058598506228 6515309.600532532 -74651741.24830627 -74669421.8861866 2858.233353155898 3305.212685904835 781.3953121321812 117863680.85944532 891.5705859850623 93631157705.4382 0.051292565937102824 0.9996823190619146 -0.3471634811488976 -1.8987020634172933 -3.3296843592328766 903.296939712731 3.384480237949301 6.061495922149761 427.47659168080355 0.10279367416763105 6.276590496819001 7454.847076811709 117863680.85944532 0.9796962043588268 -0.7354404635550864 0.5455718652909974 0.9526874959082587 1.3582357361059787 -0.10056758530188996 0.9683667596336838 0.34108400871875083 -0.3631862595908251 0.9943868708136854 0.3542954057025551 0.11118919455073234 0.6498976367241959 -1.441439520478334 0.30711094877546163 9.703878793370621e-19 0.0 0.0 3.3324217971070246e-17 0.0 0.0 2.6661057750904794e-18 0.0 0.0 1.42127930430776e-17 0.0 0.0 8.145136617917074e-18 0.0 0.0 3.647936834389011e-18 0.0 0.0
0.0 77.01057702688956 -16196128.522979736 4304163.252487183 25292934.065610886 12104.475212017607 5476.233258293767 -505.8980692878354 69929631.44926725 824.0105770268896 40804074963.05948 0.42469263852770894 0.9978081930509217 -0.5269859860092407 -0.6811681422090916 -5.1306227839894545 513.5940896768434 1.3399119679299183 0.28952712643415285 7682.534590889494 0.004170626294479869 0.13278232431359815 7719.5036852466 69929631.44926725 0.9647516032209749 -3.075406647665877 0.431255852014012 0.8950653790300954 -0.5303192553967038 -1.1842156710426734 0.7375725330781829 -0.3139777783253993 -0.5167601678591022 0.8436762073879928 3.082998453373519 0.3652232531574746 0.8073788465668593 2.672081097490505 0.5242532131121697 6.302856127151826e-13 0.0 0.0 6.180796853264755e-13 0.0 0.0 6.330892335113408e-13 0.0 0.0 6.297368005272382e-13 0.0 0.0 6.297206930721226e-13 0.0 0.0 6.295952851285885e-13 0.0 0.0
0.0 59.50313823379838 8681447.164985657 38988369.907440186 -4226856.84569931 2518.36356254933 4987.673313181092 577.6584422414176 67466052.62268955 806.5031382337984 63950255522.89374 0.1506678655925442 0.998162801556641 -0.8586370178126976 -1.4548704180457037 -5.070454550839792 1911.284778618527 3.6107865583566134 5.349159330667464 2868.2105093244495 0.6137701588024979 5.537424213439908 7805.6212118909425 67466052.62268955 0.47523440602229206 1.1226514161895134 1.034916207161314 0.685583526946994 -0.10658468407988482 0.9083040476271355 0.8569317786445195 0.017397521870072895 -0.06555087826167633 0.6735770358071138 -1.2153975245689963 -1.0158411236376252 0.748421489401227 -1.441819953471997 -1.278760178909958 1.6370333105653617e-16 0.0 0.0 4.1480054791832285e-17 0.0 0.0 4.4060200583449386e-17 0.0 0.0 4.443981296856597e-18 0.0 0.0 6.732490797280342e-17 0.0 0.0 4.271107862728427e-17 0.0 0.0
0.0 18.798385867142656 9626054.360870361 8741063.92918396 -15327867.786395192 3830.666886658246 2295.061671585863 -4493.658032776059 59557103.96486707 765.7983858671427 57475844494.08414 0.23038347332414774 0.9910143264605936 5.883409328855889 4.2388670596912865 -0.8932021683648503 68.27519717516778 3.0786801548967824 5.089803635414567 4375.631595342886 3.5716188259088013 2.380842394333587 7207.487050538284 59557103.96486707 0.2935555945549377 0.5495383476255249 0.00725751907880052 0.2344370130827568 -0.11667831079993848 -0.20773704835966525 0.2764820290656133 -0.8788007532162163 -0.6938426663779018 0.18244768917424867 -0.520490736707542 -0.9549818671193069 0.2766496760865691 -0.08424784425794071 -1.0116176282408296 1.0313048162710226e-18 0.0 0.0 1.5528367128610097e-19 0.0 0.0 3.57975878331418e-18 0.0 0.0 1.5345524409355487e-19 0.0 0.0 5.050817861936339e-17 0.0 0.0 1.5329403553964913e-16 0.0 0.0
0.0 27.343711645632652 -969629.3659667969 10518054.454452515 -20869395.822207212 3213.252455572626 2417.6129719787095 1380.257264864662 113065152.40689541 774.3437116456327 29210589466.76364 0.08915163784107935 0.9999908789894497 3.66224621084673 -2.599160943354035 3.1633626760452156 2320.0793537570607 2.73043898326095 2.727544707030029 2097.0613858226216 2.7669232330176095 3.1480900154208395 7771.891953843642 113065152.40689541 0.27288782661034106 0.3717994005355589 -0.36194992235759443 0.16471453209383277 -1.8015214582873877 -0.39917599053776703 0.05622293438540662 -0.05186579649313224 0.015470086954831512 0.10550934765419075 -0.3633084219285351 -0.15949093486572283 0.3634293193956752 0.48405119189528967 -0.3175325950469496 4.797791387638431e-16 0.0 0.0 2.407552404011669e-16 0.0 0.0 4.373906059832064e-16 0.0 0.0 1.1738746780800666e-16 0.0 0.0 7.356171050288531e-16 0.0 0.0 6.409541623371297e-16 0.0 0.0
