Label t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 29573483.10755352 791.8941095260806 9.1552734375e-05 0.0 1.0 0.0 -1.7763568394002505e-15 -2.582217095657294
0.0 29663823.293281812 790.1150580054298 333855404.34298706 0.0031570312804064804 0.9999721108621713 -0.004979782697176027 0.024578017340082248 -2.645110586651055
0.0 40995793.90247689 808.9400596470797 0.00030517578125 5.551115123125783e-16 1.0 -1.942890293094024e-16 -2.886579864025407e-15 -2.0027609460964992
1.0 40987393.08433948 795.5719288871572 8520906.215515137 0.004392311278066885 0.9999890256833363 1.0003002603823201 -0.9959034081160989 -1.9991333819732544
0.0 73648941.74148329 868.9273083280638 6.103515625e-05 4.163336342344337e-16 1.0 8.881784197001252e-16 0.0 -2.4390103708276363
0.0 73106449.39806242 862.8643312526144 1810275874.6029053 0.003755221421587074 0.9998274655829136 0.22992813103415966 -0.22743020207578352 -2.516108445945754
0.0 63167515.76355584 833.335853059462 9.1552734375e-05 1.6653345369377348e-16 1.0 0.0 1.7763568394002505e-15 2.520352401593662
0.0 63171384.89410847 831.7452155893216 12583221379.793121 0.007116165089830984 0.9999576821287558 -0.15289133698658142 0.2977060181010249 2.423258489454335
0.0 75361558.23936942 832.6898007858674 6.103515625e-05 7.216449660063518e-16 1.0 3.552713678800501e-15 -4.107825191113079e-15 -1.86380394131875
0.0 75335486.61307923 831.8247450749092 3440899839.2645264 0.0029462613545092053 0.9999475883359733 0.4649885323251799 -0.29177468864295747 -2.048089305612957
0.0 45121747.883824885 783.6432258428752 3.0517578125e-05 1.6653345369377348e-16 1.0 0.0 -2.546574062733953e-15 -1.8664151950074193
1.0 45321038.37090198 791.8191061236608 263682396.50427246 0.007317470521710334 0.9999407772120705 -1.0794281759044755 1.0396906166000561 -1.8067070644785723
0.0 76306683.21064723 823.2122503418324 3.0517578125e-05 1.942890293094024e-16 1.0 5.10702591327572e-15 -4.884981308350689e-15 -1.7342169010400617
0.0 74865281.40587753 805.7168282778849 11804281460.36499 0.002416209057196389 0.9998090993466726 0.8441627126707396 -0.5153843015277475 -2.295025188938998
0.0 63561555.295235015 840.9467716094601 9.1552734375e-05 3.885780586188048e-16 1.0 -4.440892098500626e-16 4.884981308350689e-15 2.2871381160244346
0.0 63328039.4089363 830.6291271097703 406008868.8125305 0.03388792951101055 0.9997155020062054 -0.05518675899635528 0.11432748529158676 2.228497060825013
0.0 64199148.82442456 814.8982353967331 6.103515625e-05 3.885780586188048e-16 1.0 0.0 -2.220446049250313e-15 2.3542701540873665
0.0 63706404.89539814 816.8330265906567 3991863453.6870728 0.003417462132824123 0.9996623312850135 -0.7030379696181346 0.7373144601901314 2.2451607656882557
0.0 76068963.61056449 863.705385078151 0.0 0.0 1.0 4.440892098500626e-16 -2.3869795029440866e-15 -2.2877229148029303
0.0 75689177.30935706 856.4353099188717 12825752351.020294 0.012513149705373289 0.9999455927451065 0.3389276937563992 -0.5865068112451916 -2.06148154052463
0.0 41323882.39262788 802.6250184529041 6.103515625e-05 4.440892098500626e-16 1.0 -5.273559366969494e-16 0.0 -1.9688111694005614
1.0 41472246.54917092 801.434020211956 3519101522.3588867 0.007279096649870143 0.9999588198694117 0.8289470532342673 -0.8360775418491337 -1.9294073447516484
0.0 63863286.29599325 851.1139552767455 3.0517578125e-05 3.3306690738754696e-16 1.0 -2.220446049250313e-16 -1.3322676295501878e-15 2.3868358701229795
1.0 63437248.988882065 838.6705026501887 3391948991.2473755 0.005550534219782355 0.9999760244697079 -0.5477273685465447 -5.685621021642165 2.266726600364813
0.0 41364044.82960488 801.6339713636867 0.0001220703125 3.885780586188048e-16 1.0 3.3306690738754696e-16 -5.551115123125783e-16 -1.9219737951699976
0.0 41210770.46553535 806.3787989587935 6758850566.530823 0.014522358624285803 0.9999692108513989 -1.874267280261031 1.9933748409669503 -2.0163761903075708
0.0 34880778.11533774 804.0269869622667 0.000152587890625 5.551115123125783e-17 1.0 4.440892098500626e-16 -1.3322676295501878e-15 -2.3132382841070465
0.0 34708806.64956167 802.0763855270619 8444235.954620361 0.00019997645208669201 0.9999531656882373 0.29134630384203053 5.991817398128392 -2.3444576796863306
0.0 18940513.77074607 775.6873463466036 0.0 2.220446049250313e-16 1.0 0.0 0.0 2.729933515863451
1.0 19275770.64900759 774.462306931724 7372610244.622406 0.009450256386203393 0.9999714516712827 -0.03257687130760334 0.1596373246008142 2.654871754908687
0.0 71042229.06121446 845.4120008450221 0.000152587890625 1.0547118733938987e-15 1.0 0.0 2.4702462297909733e-15 -2.414241768573763
1.0 71065849.26537581 850.6974984700179 7849397097.140869 0.011635135315083672 0.9998826783648755 0.31466669339646103 -0.3090923961599498 -2.4178552244333
0.0 65140830.848936476 824.915152600373 6.103515625e-05 5.551115123125783e-16 1.0 0.0 -2.6645352591003757e-15 3.4185538734142167
0.0 64910338.63544775 821.3923402733942 815767705.0462341 0.0012081989406240445 0.9999740824913633 -0.05177947825214768 0.07317449085485628 3.4133165900527174
0.0 40020929.138515115 814.4282779017112 0.0001220703125 2.7755575615628914e-16 1.0 1.0269562977782698e-15 -9.433426262361877e-15 -2.1298994094165518
1.0 40150127.419757776 811.0841173120479 6399919805.494354 0.0011689455387885461 0.9998985062905121 -2.084278975382282 2.118933968831764 -2.171539348661232
0.0 77231967.22969809 815.4960745243749 0.000213623046875 9.71445146547012e-16 1.0 4.440892098500626e-16 -3.0531133177191805e-15 -2.375543001876865
0.0 75975666.2822568 828.3484636089164 13895323668.000854 0.006246706426529747 0.9996310615760132 0.1422915498500612 -0.4337672903758254 -2.377032713301369
0.0 68380724.18679869 860.6769321743643 6.103515625e-05 4.996003610813204e-16 1.0 -3.3306690738754696e-16 2.3314683517128287e-15 -2.2808138048227535
1.0 68006470.13722453 854.3664661870628 5516795641.486176 0.002974760309584601 0.999844897080975 -1.9337875676453171 1.925676141391661 -2.2849632905173483
0.0 18600140.281813975 781.9791237774572 0.000152587890625 8.049116928532385e-16 1.0 0.0 -2.4424906541753444e-15 2.557458334368673
1.0 18755948.400889326 780.9013874758072 380013410.6461487 0.009467549607184739 0.9999660676780909 -0.06591636016326008 0.06682496599764096 2.560719512196114
0.0 64984704.49461147 806.7250006273117 0.0 2.7755575615628914e-16 1.0 4.884981308350689e-15 -7.549516567451064e-15 1.4723002568905652
1.0 64910050.490608975 841.5520766900373 1411987874.5971375 0.015178444727607876 0.999812945676329 1.2290556424959858 -1.263346090850501 1.6556818130966362
0.0 71732908.8914756 868.7986176554828 3.0517578125e-05 8.326672684688674e-16 1.0 4.440892098500626e-16 -4.773959005888173e-15 -2.834284872814731
0.0 71578810.16797347 864.1633422644804 6425827237.789917 0.010480607563323918 0.9999928551471371 0.05335293909347927 -0.20831863630695685 -2.6547218532912384
0.0 35302686.45325475 808.693806413387 0.000152587890625 1.1102230246251565e-16 1.0 0.0 -2.220446049250313e-15 -2.4666978527062136
0.0 35602568.82092356 801.547744642059 1604269680.882965 0.023017658457165358 0.9999930971471579 0.4166908300500505 -0.2733162727881995 -2.532669218685422
0.0 77738531.83101457 844.8261313319223 3.0517578125e-05 6.661338147750939e-16 1.0 8.881784197001252e-16 -6.217248937900877e-15 -2.8314242420766464
1.0 76654520.5905583 854.4173169316746 11509427106.156586 0.003807488676180526 0.9990547459473869 0.031959867982999324 -0.23463203830270563 -2.8260234265448196
0.0 44423007.012939766 834.5453658118248 0.00018310546875 1.1102230246251565e-15 1.0 -1.1535911115245767e-16 -9.992007221626409e-16 -1.7144727293432234
1.0 44226235.250609994 824.2340081032331 985608942.1248169 0.010339801123228631 0.9999026511670792 -1.3805344323306696 1.4011854447079022 -1.789456146163516
0.0 72790860.01469883 864.6766939797392 0.000152587890625 1.7208456881689926e-15 1.0 -8.215650382226158e-15 7.258083023486961e-15 1.9744537454405504
0.0 71964709.19858582 874.4258109158634 14270124853.407745 0.00705517003712719 0.9987693981941406 -1.1636676854716925 1.1088948163261034 1.8981037605004099
0.0 67979708.99539503 835.7830039095184 3.0517578125e-05 1.1102230246251565e-16 1.0 7.771561172376096e-15 -5.773159728050814e-15 1.8148227462805526
1.0 67786389.83672349 845.2328490151635 8798914294.904327 0.003984274647399311 0.9998616698495728 1.4342894780851685 4.8788873065725005 1.7574162802268778
0.0 36341357.030884884 803.6054432677978 0.0001220703125 5.551115123125783e-17 1.0 -4.440892098500626e-16 -4.440892098500626e-16 -2.257205119078385
1.0 36352265.003163666 801.5376826911662 515610037.66171265 0.00361128513893455 0.9999985005982084 0.32992289212948656 5.957270936357249 -2.2967328426206306
0.0 31685194.969884023 799.8282977855337 0.0 5.551115123125783e-17 1.0 0.0 -3.9968028886505635e-15 -2.742401198451039
0.0 32831272.84094305 800.1039617768494 3146254394.728058 0.0009897742262651166 0.999963175071386 0.23013370835588853 -0.23010521569802922 -2.6086740391799483
0.0 61341492.74421893 827.9990691859027 0.0 4.996003610813204e-16 1.0 4.440892098500626e-16 -5.551115123125783e-16 2.16887824669824
1.0 61274214.0391007 822.8821865539749 4513927073.576965 0.010944236386601136 0.9998404667323442 -4.186463257543994 -2.1163956969779814 2.1414107731551453
0.0 34342157.03216992 801.4098024749239 0.000152587890625 6.661338147750939e-16 1.0 0.0 8.881784197001252e-16 -2.6748159645708554
1.0 35567636.53271281 802.356586392425 7431490576.363373 0.013445944001321042 0.999910781556453 -6.023298912821776 -0.3321489585161794 -2.432962835629233
0.0 20766778.303662166 777.968108036413 3.0517578125e-05 5.828670879282072e-16 1.0 0.0 -1.1102230246251565e-15 2.814955864383416
1.0 20925665.603196133 778.381111239476 941295716.0003967 0.007399400306552589 0.9999579920980884 -0.01077148741149725 0.04117331843587631 2.7913026640824876
0.0 64259157.307765014 836.0873395576184 6.103515625e-05 6.38378239159465e-16 1.0 -4.440892098500626e-16 2.6645352591003757e-15 -3.6680554675785917
0.0 64155430.84104546 836.0570020778492 8338429139.549927 0.018719841149779037 0.9999527579082165 -0.5217184307023663 0.2859141283764304 -3.5241283287146046
0.0 69037575.78557356 825.8667889065284 6.103515625e-05 5.828670879282072e-16 1.0 5.551115123125783e-17 -7.771561172376096e-16 -2.1650251957437963
0.0 68744162.61452852 829.8815878860956 3654255011.2005005 0.025141775203330885 0.9998758108544098 -1.6076074188093745 1.5470369600448075 -2.0847272947413145
0.0 73764233.22603467 858.4299481542912 9.1552734375e-05 8.881784197001252e-16 1.0 2.220446049250313e-16 -3.0531133177191805e-15 -1.9860298828211693
0.0 73326242.95963706 860.5026628713586 5013357.279724121 0.00782519115355701 0.9997752834192821 0.7311959113504352 -0.5889424529287006 -2.143120397516002
0.0 76671569.36322993 850.7034711148485 0.0001220703125 8.326672684688674e-17 1.0 2.220446049250313e-15 -3.469446951953614e-15 -2.3676878435605304
1.0 76332607.55660929 852.1579129055348 6098535695.034729 0.014297137751646483 0.9987685124730854 0.3206462789384026 -0.3334859864283128 -2.4829491506902803
0.0 68237717.15379079 852.3463119454315 0.0 1.1102230246251565e-16 1.0 -4.440892098500626e-16 1.3322676295501878e-15 1.8650643206358057
1.0 68078375.57421848 845.317369609696 3675659798.2358704 0.015953052473998863 0.9973135157070155 1.5858932523327958 4.698649797691267 1.8505824332359218
0.0 63186795.92790449 852.0230489941198 9.1552734375e-05 1.2212453270876722e-15 1.0 1.1102230246251565e-16 1.7763568394002505e-15 2.448489417687261
0.0 62764264.78749797 860.1563884637542 10616697598.089172 0.0016626295276585545 0.998330339124834 -0.4094378375974548 0.4281701898898431 2.5759457819997778
0.0 67537369.50178286 838.8935266379738 3.0517578125e-05 3.0531133177191805e-16 1.0 2.220446049250313e-16 6.938893903907228e-16 -2.887711767247926
1.0 67545745.34976743 839.5498138170419 5321992265.000946 0.018676805563901194 0.9998400437162059 0.0641574134246421 0.11322336759760279 -3.0419629478200334
0.0 66322899.264857516 866.8883933266068 6.103515625e-05 6.938893903907228e-16 1.0 0.0 2.6645352591003757e-15 -3.3759279694715723
0.0 66173041.961095914 858.612640838732 3390359474.8910217 0.008424838170575544 0.9998935133250314 -0.12135007619770022 -0.10117768720483111 -3.227682063510928
