Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 -246565541171.9581 277336532317.2907 22953199966.434204 -40525.939645448714 -32370.135335078747 -1610.8707311387197 66780886.945323616 828.247147944009 95391981065.79907 217951825711.83545 -2582677635.702594 -32985.69909219992 3610.6609218748818 1424.77083629097
0.0 161832974459.19025 -230833420599.85956 -21718214146.311523 27685.87931219725 35218.68288227402 -1819.362857952271 30860695.411685985 792.1554858858457 44963528019.50662 109274083968.3214 -2922980172.0457525 -13030.934300974182 -4681.047611624603 3565.3934079012706
0.0 97025465091.97098 -1834192532.9221191 -7057370954.14692 -8408.221344109272 13245.979565098049 4454.594870475245 56929674.557988256 840.4202044322443 -290569753634.32825 273914774848.27734 7976590480.27525 -35332.15717146668 -36339.127873229205 -1437.6051985937086
0.0 147197244804.59543 -348294304168.64343 -7493800252.773695 41166.46977071643 25488.430806555538 -4982.751292358028 48061737.33763094 830.0123214641015 36587366059.10051 382837946737.4224 4257588596.522241 -53190.16103071277 7733.955548008913 4440.250573232739
0.0 147764535892.6609 -159164141079.31235 5883011024.688683 16910.491868208937 32942.1412307376 -2869.2355480042224 58665878.99842833 829.0062719200789 -140395447200.09436 354636749767.34436 7632027024.134273 -48857.80887585409 -9030.135570460803 1647.7931644284056
0.0 -66862595213.39694 315803049126.74194 33665954582.446163 -41357.14621082795 5804.844066979542 -1545.4022339930775 27359685.32504443 790.3569372163273 -289683562585.31494 -205830135912.41956 4265234555.668673 36449.39319031586 -31220.255292943275 -1946.3437366237058
0.0 -399951156425.1411 113778107153.39648 10547946575.86411 -18610.34300143963 -40449.064701269344 -511.9068577674214 63534879.22949798 836.8620176344389 106026435765.96164 138605754695.05814 -4556114587.038742 -22167.074233761046 7750.067080667355 1382.2658989200015
0.0 -9699026436.597824 -258167942988.10477 -15434936258.101175 36690.80085384316 14201.866434749048 -2000.2186589112944 34702714.488919124 787.1840229277462 125438922726.7032 103754148170.19885 -5583255234.196737 -20638.287939370253 10361.444101825162 2779.5365947307255
0.0 -350060310232.9723 260094000734.11133 -36586063390.38828 -30199.894747308077 -46347.69538858702 1422.0371176815606 26691133.501544252 781.1801142283261 -104597824697.61443 -271138518758.7645 1441516810.608002 41731.02943720903 -5094.52794062149 3791.005592049924
0.0 -401201903569.2149 -143223243472.80054 4253856179.9881115 12566.279133997934 -44521.379849250035 -315.33316486653723 25345907.19866232 774.3931627199644 84053167793.08951 -111777661674.81621 -4025817009.187692 2888.440505700095 26426.071215027987 -1421.1515050889338
0.0 -63002923611.62274 295523608171.9282 7895008396.535109 -12729.537713046251 11569.343189740885 937.6356310947843 52716149.79527213 836.8777642115066 -33956693250.51799 -77531434152.9656 -5376309343.163059 1259.0888206618765 -13269.055482408967 -1154.29780565867
0.0 9811224683.817993 472449460407.07385 3755183934.508151 -25073.77367962277 -33977.05601096956 937.5148310107606 47956410.313857906 816.6617420616518 -232223296398.0549 -110064853260.14471 6793793040.682676 25748.235538678084 -27507.246910668335 -1182.3872982440996
0.0 104638806007.30855 169235816651.50784 -49445289029.13173 -4369.586893492224 25337.17717114594 3187.7816437676674 71298399.06380785 840.769261531138 345249448389.45593 -40081162772.305595 -6126075116.1263075 7631.559765046271 54133.05729783039 -3804.655880299181
0.0 166824122233.75778 109265985548.48851 -27016902171.449314 -23309.641628927995 -3766.939816974933 1441.140192539853 26327426.482075684 780.9174883323651 215301975103.51767 207265477605.90985 2936892278.600723 -23059.823538621935 34303.37449312325 3216.534369457918
0.0 -116582974777.17114 34550020745.34747 21658712472.135765 1554.170371347529 -12464.832141989054 -958.0830657791136 67701491.0378403 844.5859298385183 -264502057520.97284 180578398724.21603 6654763455.83112 -25820.571115807037 -22393.279731368 1802.214389892984
0.0 -248430742304.12482 51728780041.51477 3819838520.0287685 -19030.13174292456 1883.045429615684 -2575.463711129497 74968999.82379168 859.1935073624476 337612869719.1467 -579875302.0056076 -3710754923.9113073 6093.608097435791 52699.91937666053 7485.713618938689
0.0 188195448899.09763 -341211508629.45264 -13694668871.909239 46421.33518840065 25987.586034060943 2042.3565314279685 76286464.21661356 864.5970076053046 -267757093687.91025 42454838859.96788 8000704011.593289 9707.610696824644 -33746.672827604416 -2965.298635006562
0.0 -209000962913.56638 244469415944.5581 7846414094.291844 -35428.41285978447 -10079.40280619182 5593.15445562624 64143050.00434634 817.6953749968708 201467198455.60532 91152839948.31227 -6126959437.293757 -21985.807398647175 25449.574684375377 -5295.523405788186
0.0 281118219148.95264 80428256348.77951 8493365347.671248 -20114.868567333793 58225.2828316026 2254.9681687259244 65921338.14525486 854.6980025764661 81239967521.24033 -334911823689.45215 -4354394817.223392 45561.488955480716 20834.562518054783 2035.264532599445
0.0 30557752462.289764 907736351.7542877 15075091709.633059 -6125.114625224787 6012.430980939149 6748.347936542587 34826437.895754546 803.9770987285003 -30228885210.881195 91654609895.19725 7099830425.975435 4412.827041083765 11041.049293159864 -5451.117314749836
0.0 94890607701.70876 220794449782.63474 8029665031.652394 -21915.940511620764 27440.75583935388 -1745.5241775094087 69989709.72998306 837.2304436392183 248826128833.50964 -248326802474.8596 -6572577373.638976 36094.742971909836 42286.207594253254 -778.6696127410416
0.0 233846460627.49695 188674837781.22632 8211970641.591417 -31825.922097697512 -9079.544804151008 84.71636287838305 42978389.85394764 812.3037280672321 -233263320405.7814 50091986133.89244 7915525278.660768 2656.1235333925215 -27479.296370787197 56.00541144115459
0.0 -20350092909.25757 -135652521903.20105 20815919982.357014 -77.88587987177743 -9654.2932429217 -4085.423385953112 59284571.34821536 820.2364084560334 -332474063296.2092 220689723729.8531 7886415549.570425 -33737.553275849554 -38773.969741590605 4153.692420853848
0.0 22881470584.682602 -177108233260.66058 43731815796.31041 30567.06627136293 10057.297101435044 -1129.4946125591873 20887101.170738332 778.6906253048018 12950531161.831024 -238123414402.8342 -6644392456.899152 37480.31935913175 -10095.973598304476 -7348.687028777589
