Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 0.0 23116169.754821777 -27375676.081100464 -39568025.92467785 -1456.8020083868323 5476.655373514426 3232.7994323377516 38994077.435669854 747.0 23108130348.58792 0.31482504564722275 0.9984884412494502 0.17264608242424273 -2.6441577344298866 2.322432933327285
0.0 0.0 13900405.324829102 27385136.7833786 -25833389.1553483 7170.827035594109 4231.537246317734 -696.8476686310513 109578283.39900371 747.0 93413764124.46805 0.031669777845114336 0.9946521105378465 -1.1292738901714825 -1.0229854624168708 4.432685621955857
0.0 0.0 -69557904.91950226 -4849909.430831909 21074159.296170086 5022.464105303043 1215.7711983906966 787.946950078378 114776101.68526639 747.0 90151461804.44046 0.20959962147384642 0.9999693737509098 1.9555060098918617 -0.47140039140542955 0.17459120665738714
0.0 0.0 1583638559.2138977 5140454822.335579 -939700707.0201406 9875.317977160259 2028.264401199147 646.6544540652906 17541098.700682107 747.0 14869626730.703217 0.26589242688560893 0.9999266148549175 2.503631725577546 3.614773533482585 4.409586267433766
0.0 0.0 32802912.306106567 -7242095.17590332 16082542.089970589 11964.823698360653 9284.814073169298 1134.3551315689936 28346786.317577723 747.0 88759212226.90137 0.03514175758704624 0.9581240547810556 3.0356273775804152 0.6687197208637983 -0.758678000399152
0.0 0.0 -144342063.7661438 -167304121.57733154 42415985.74956608 803.4953332630066 3337.611068249218 -213.7599629054659 76477492.63038278 747.0 88053758117.5457 0.04935490230466551 0.99993219028609 0.16107264463574056 -0.9125634565375105 0.4889002216630791
0.0 0.0 6711465.59147644 -14993339.79246521 -24645987.791331112 2879.7684788638344 3736.1844230739807 781.6165288941584 44932301.63488673 747.0 74826112051.50513 0.0406556541374275 0.9997285488187312 3.098102025740051 0.7340270469143463 0.49137964770533527
0.0 0.0 21542081.742004395 11773689.437393188 -98123135.55141544 3255.0310255468853 612.5374333849832 1291.821902853209 108681316.13233742 747.0 75590600372.6994 0.127429844746633 0.9994937486673492 3.91442239505896 0.23070373190308824 -0.24826535655367588
0.0 0.0 43446227.707092285 49167330.83370972 -147712005.4736576 1651.523495431662 1992.3175445467969 -9884.408368995208 42297329.51161969 747.0 113801331977.73816 0.06002506394480135 0.9574780980485371 0.5550243019878676 1.533168238513197 -1.3565379809556042
0.0 0.0 30249808.97502899 22886111.59274292 77522240.15688753 -2604.2467707663673 493.72675954007536 1371.0028319558971 92991200.9648105 747.0 17629784094.763367 0.2513018199900273 0.9997601735816863 2.5368903280748016 -0.4649206358849297 -1.2770761349403912
0.0 0.0 10106257.730255127 -4345799.204559326 -76207454.23882723 -1847.6764893559048 3425.585184780208 -23.99018226343955 63430990.02245024 747.0 133615227162.91885 0.24017825709856602 0.9970486469095382 -1.367612328399515 -0.6543064630421283 -2.8802927687361617
0.0 0.0 12060113015.733307 8251970870.428497 290773733.9958062 1265.865705400567 73.75966115074698 60.75182998458877 92478910.14406554 747.0 81750292152.18668 0.07440118062524079 0.9999847244787925 -0.9119774912341663 -1.3464823709882943 -2.6103323726322882
0.0 0.0 -6157816.437538147 3716443.5474243164 -22956826.001907825 -233.0169086972528 -685.1925519857195 476.32077250221096 101256007.1047639 747.0 50129498750.025116 0.12241086669472465 0.9999989641725363 2.7481219460613624 -3.122478166251356 1.8402838742102192
0.0 0.0 36441885750.6302 38240590743.884964 -4242119957.8411484 99.63883579910907 10916.022991867974 -233.47648047161067 20583779.639803812 747.0 118685255086.08936 0.2666254604034771 0.9868111278850937 1.6919781471174333 -4.122932819374147 0.9095411492506641
0.0 0.0 28786312.796295166 -53705864.57044983 24776352.428843796 -8839.163922364845 12270.679624280012 1110.5640110599593 115778612.33516209 747.0 69866642782.61267 0.17850325907934375 0.9445668452470084 -2.0858282256099843 1.4186715861569512 -4.554895269514899
0.0 0.0 -4267995.194946289 -15257701.524253845 25838746.501665115 2790.303014006682 -4290.680491157887 -65.28907491809252 114430392.59548487 747.0 137041660347.9295 0.16440064268628812 0.9662673335388325 -2.2574683063853316 4.573767226746724 1.6051594179058264
0.0 0.0 15580678.64529419 30985018.433258057 -81736214.82554913 3027.3804074564796 -899.9764725852983 -854.1456652513393 102987530.2474074 747.0 100498866740.53723 0.15186495994455299 0.9956649252748754 -2.726951160871837 -0.23889018462467365 0.03912362662589208
0.0 0.0 -50692016.96858215 186872220.05838013 -88411891.44952822 4506.801085262596 -1911.116519430343 -1191.1772914987616 127103007.69197357 747.0 89707092393.8746 0.09934424333454012 0.9982246654908696 0.9748820434917542 -1.014304886995696 3.9605481803252873
0.0 0.0 12974663.531417847 63610229.424835205 -26734230.647950172 3142.7589147626786 4908.833991775644 -6435.980513906967 84958653.07117371 747.0 97270146279.73865 0.08220358353672023 0.9752083757551686 -1.5749661894173919 0.8107662843382086 -3.9857747249171833
0.0 0.0 27871937.38519287 -14400402.142349243 57500071.67481381 11590.515965154978 4723.530791563648 753.3153405138319 98212583.8172688 747.0 58590297154.30902 0.2230822970807927 0.9994689447077704 1.5234446684855525 -0.5501384262800845 -0.04712940865569326
0.0 0.0 50439814.79281616 -163173841.95410156 -34904899.60915756 -606.9585241706191 1079.610321572094 -5446.300793905355 50653915.40128935 747.0 93010953230.41422 0.04677455723631033 0.9798951042527468 -5.14383864546298 -4.039220094810018 4.123039623461656
0.0 0.0 10325021.081100464 31008083.143432617 12077835.390152454 3072.14695585323 -2073.3065650089266 -359.3952805943454 93642106.59619828 747.0 81563788506.41962 0.0043580285339924335 0.9866978365036511 3.188946133268339 -1.6929974119560924 4.831099509245121
0.0 0.0 206901479.8580017 82042561.6308899 -177839169.95845604 5682.148131818472 -734.3699275542749 3940.770150338164 94378320.1949307 747.0 22474905420.6445 0.23442535156968428 0.9931709626730262 -5.0659478318880105 0.8105601449671452 -0.7541600848683796
0.0 0.0 1085161201.0354004 500590405.6036606 528010255.5707998 4542.641501343169 2398.9645545774074 1122.0157340490498 50200651.630986094 747.0 62950271834.57532 0.008715827208320481 0.999825480143224 -1.3557699804549332 -1.4026313852117622 -2.479699891979695
0.0 0.0 45007082.21575928 31260024.67396164 21226711.65075493 10395.758734053758 -538.7806128901102 -3568.060520862938 36350388.856843114 747.0 340037168934.51117 0.48305355452303694 0.9994086707651805 -4.990977711442853 1.1657241044618483 -0.9726600728865481
0.0 0.0 -25176293.1230011 -39101082.31317139 -175117301.26860142 10411.461013979071 11729.416985779006 523.3990185210441 114106459.09128861 747.0 14452499348.296967 0.5018200066502749 0.9735472048472519 -0.19593594969840666 -2.692512997614722 5.70627641433253
0.0 0.0 -107890701179.4071 -34419841109.633286 1921148772.7274494 -11365.074365128847 235.15930378506528 -671.7254711672048 80661188.13566941 747.0 61645802132.63577 0.0022395498262390637 0.9999986864821399 2.989869351745578 -2.450132081360703 2.8478300341606637
0.0 0.0 19393154.061843872 4011469.4427490234 -9300170.848228455 11503.299069861543 4650.893370834932 520.7892814812888 20525663.533281785 747.0 53855863537.60458 0.21644175579349284 0.9782967715233024 4.976214803979424 -1.71549844646443 4.9958794200677215
0.0 0.0 2520145474.6974792 5059611483.581482 -209977213.96335733 488.30107708518335 1345.170430681741 804.1435458936855 31840874.93996586 747.0 77729543705.17468 0.053537442631393706 0.9998046281227448 2.250267421226492 -0.4536342580354343 2.6234227227194644
0.0 0.0 56541119223.24661 14604824956.509018 -4605014779.312122 -6719.336614195648 -2806.04559427773 368.85848285971184 25204459.749045376 747.0 85803900493.93878 0.06060025001427574 0.9968808391887631 -0.3363450439882422 0.6605029769894246 0.37063893901715217
0.0 0.0 14877315.174957275 -62103452.58483887 -112260535.17465115 6116.821291234559 -4371.337422865297 1631.1647265854065 96403297.91492894 747.0 151519297103.92365 0.15392891794922675 0.9524540054624168 2.2902852322751963 -6.024645782246344 2.762517153789308
0.0 0.0 3100234.0771102905 -68114857.4243164 97991332.5351286 -2296.0315366197683 324.7242899827197 108.7556416000007 86105535.938562 747.0 184633070893.98083 0.37246045268663086 0.9931325147341257 0.35439448818510616 -1.9820180275363253 1.7505875282986498
0.0 0.0 2925847.9889831543 -49650761.77309418 44766540.39789677 498.63529508056854 1583.614771375207 -2364.3297919824895 102260883.44560874 747.0 64131639876.84924 0.0020824757450571205 0.9972022464413883 1.5316088550454658 -1.6919356748938172 3.3682845511996136
0.0 0.0 51829103.15834808 -38012328.569610596 -144284772.05801654 -1129.1369428398102 3662.058264758956 956.6034075245057 124636731.0641072 747.0 92540653041.5974 0.040677622492867785 0.9996589057910532 2.7779879822624816 -3.9340446791524846 -0.2912715728630939
0.0 0.0 10383598039.658722 9682206550.67218 -651207778.9090909 2543.0866670955456 1772.5975134744876 822.4906403745749 107338233.75744168 747.0 75503453932.46869 0.023012549857997736 0.9997420961777622 -1.896429759338747 -0.02386969922546367 -0.5186209381251441
0.0 0.0 -19019809.3855896 91070.42834472656 -15349410.104794502 8673.25398495209 16065.93654238599 1227.324470147309 81243987.93494359 747.0 28062333191.70508 0.35903751719216354 0.9568183890012005 2.606675164226453 -1.4409809067388473 1.5369879782511007
0.0 0.0 7217077.139709473 -16049433.93133545 -15437806.155847073 -4673.475688806988 1104.9323646865632 -575.4327056734928 84820606.47058432 747.0 143696200881.66998 0.277731350911741 0.9993933788944284 -0.11926025932884765 -3.3555729530918263 -2.5161295176516894
0.0 0.0 -11824332.87020874 -23651791.457000732 -55489916.6271534 4953.470397386345 -1591.3672974286892 4913.733669609679 100225448.61490609 747.0 185287956105.96075 0.24689739219700768 0.9944517043679977 -0.664727693374756 0.48165357284747135 -0.6500542090044106
0.0 0.0 -27937293.695648193 -16127438.174880981 -5376185.065717638 5582.506418836427 84.37104881491905 -681.6070273639059 126261022.57366997 747.0 313113240198.19434 0.40029599006799726 0.9934012206375118 1.451661523013587 0.3341962760620401 2.984903317066654
0.0 0.0 -21800244.21725464 -3914097.644378662 -10184563.087814331 1934.1602151113511 2631.7609501053194 3999.853586614341 61112047.04024594 747.0 128431775006.39062 0.14423703973531454 0.9998560164611873 1.5449305816844634 -0.20099225599626536 0.4300726644506889
0.0 0.0 -16475822.757522583 -6771659.560836792 -8981855.914023638 7971.098064141723 3894.921517915227 -215.81723120838683 61600871.83950032 747.0 38416395484.50763 0.061320550395950024 0.9912687796350725 4.774782028903882 -2.3446335614709977 2.5722994912613535
0.0 0.0 12204497.719848633 -17698059.703277588 -36149669.55620599 8877.267899890518 -576.301761606639 7029.179838709736 55704577.31226675 747.0 33212463866.70288 0.14807812022804479 0.9902804928010741 0.8554245461450799 -0.7037188927339704 -2.610700679054566
0.0 0.0 6295763.460479736 -9642396.422187805 -18876286.388822317 -10778.253185610822 -4951.961679043161 841.7599756415261 51830871.057450905 747.0 144342159453.06134 0.3327231803377301 0.99749472441427 1.8133615800478258 0.364893195951721 3.101167958165648
0.0 0.0 20334763.869491577 5632028.4981536865 -35784205.098655224 13384.6975899453 17151.33725667902 695.6099596301407 117033060.63959992 747.0 41411474027.708435 0.19507018735311932 0.9957153376624495 3.4237064202520187 2.3731706265853827 -2.0519099050931247
0.0 0.0 6727380.2158203125 338771.1419830322 -11153687.009214401 2281.3716412080375 -1053.7046360049644 -10196.367094346637 127414086.96987708 747.0 120488668825.52188 0.06437394492792875 0.9711378714559037 -1.5427758390884292 -4.328832216197 -1.998581165643417
0.0 0.0 13656499240.709625 1208958766.294838 -2667599209.6168456 3864.2012516696514 -6408.879809973423 134.09799476778238 59790259.71257747 747.0 99995763395.31021 0.1931709584134813 0.9826503814762924 3.5331231190512757 -3.762274806336663 0.7703540246659486
0.0 0.0 -23560123.27052307 10216597.460968018 -47143993.410604 796.7326468124193 -1187.645114884861 2039.912238758397 94947449.15064286 747.0 96198616837.54874 0.02390025810980767 0.9999670542539923 3.8825385077954877 0.5236597530665297 2.457215524031894
0.0 0.0 -4134606.5318756104 -19036132.770568848 -2352652.9194914103 -5865.837926331609 -9330.639116444485 848.3593846210864 50932498.8992736 747.0 287851959693.0519 0.5147205498101516 0.9920563988593206 -1.1030898232776989 1.0721450448709773 -1.2753308384934927
0.0 0.0 -84624767.15283203 -134007046.34161377 15612071.543516159 -1809.1974070340666 -755.6837294778124 2777.639672801967 88202658.75785877 747.0 81514625810.6034 0.16826079819930914 0.9992427991707263 -1.6929317832820907 0.20342296705390694 2.0365048844380347
0.0 0.0 -45811117.16467285 62895904.42227173 -76541525.4182005 -1648.9535711931348 6694.642515087755 706.4288431132501 87226650.66389735 747.0 79484492310.78589 0.05669771142229393 0.988932869907096 -0.23913682257303934 1.463244575148968 1.5366669393758194
