Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz Datatype
0.000000000000000000e+00 3.499005496306714630e+10 1.805029166815696716e+11 -1.646470441997695160e+10 9.159554306052737957e+03 -7.122025772557773053e+03 1.268130965592087705e+03 5.024463380692429841e+07 8.107361528066726351e+02 -2.298445387514381409e+11 -1.622698215521205444e+11 5.699907034704265594e+09 3.283750604516258318e+04 -2.204707840837635013e+04 7.740068527304163126e+02 0.000000000000000000e+00
0.000000000000000000e+00 1.733558161349664917e+11 8.723704998142825317e+10 -2.623760367592606068e+09 1.223176995730550698e+04 2.780694937247715279e+04 -8.898884842088392588e+02 7.560751908204343915e+07 8.912923282533652127e+02 -2.187590075877566528e+11 -1.721151649711286316e+11 -2.642276280925465584e+09 1.734023532809044627e+04 -3.357478342028119368e+04 -2.324458888622773429e+02 0.000000000000000000e+00
0.000000000000000000e+00 4.139202155272109985e+10 2.677775974092910767e+11 7.518111272027168274e+09 -3.184408395647681391e+04 1.870091430328837305e+04 -1.014093655971160160e+03 3.657267499143405259e+07 7.909027707770263760e+02 -3.513300469254682617e+11 -1.127716414170383911e+11 2.282891330103315830e+09 1.144259571189973940e+04 -4.772518314251993434e+04 6.570650803947941085e+02 0.000000000000000000e+00
0.000000000000000000e+00 -3.621484345391799316e+11 1.250052627734227142e+11 -4.833521818739997864e+09 -1.337300758907177624e+04 -5.092857280204874405e+04 1.115337632640344964e+03 6.251267228822324425e+07 8.468960282778534747e+02 6.760261645485163879e+10 1.167644322523776550e+11 -3.924260838221887589e+09 -1.539787628754320940e+04 -1.707514734500189661e+03 -2.888201790807341240e+03 0.000000000000000000e+00
0.000000000000000000e+00 3.784708387873712158e+10 -4.358116835096859741e+10 -2.714014235497905731e+09 -9.071438243308512028e+02 1.112569994898099321e+04 -5.767481679747876342e+02 6.016185263947152346e+07 8.098188283919471360e+02 -1.865144157968328857e+11 3.287209120313956299e+11 7.936607060453814507e+09 -4.531328636655589798e+04 -1.642863194850664513e+04 -4.824420536910309920e+01 0.000000000000000000e+00
0.000000000000000000e+00 7.072111650049003601e+10 3.343902799059432983e+09 -2.418454202853946304e+10 -3.498233618145606670e+03 -3.734235353916381428e+03 1.948502720463631931e+03 1.987488291483736038e+07 7.706819526882644595e+02 2.413032946280025024e+11 2.787467411876094971e+11 8.488204330462760925e+08 -3.643403079899067234e+04 3.847609329183924274e+04 4.615024603351139376e+01 0.000000000000000000e+00
0.000000000000000000e+00 9.747258185430923462e+10 2.065373198539051819e+10 -4.595087323053952026e+10 1.043485572928421971e+04 7.442828312427283890e+03 -3.089026551389455108e+03 4.217678055782604963e+07 7.934325776573459734e+02 -1.037501507088227844e+11 -6.915766401716537476e+09 6.793010729797136307e+09 4.707794895300234202e+03 6.864785394361530052e+03 5.558190025886048716e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.125183977382549896e+11 1.205348361461686554e+11 2.832206849151339054e+09 -1.968472273622320790e+04 4.527583238236642501e+03 5.240738592291056648e+02 7.648123705436468124e+07 8.280359783719463849e+02 -8.856060549761706543e+10 -2.860497326739933777e+10 1.936985696655643463e+09 -4.439375066450127633e+03 3.812876468747497711e+03 1.262400743959983174e+03 0.000000000000000000e+00
0.000000000000000000e+00 -1.158741720215430603e+11 -1.897379751425437622e+11 -2.935999686231760788e+10 4.621951661185506237e+04 -1.115827903852482632e+04 -2.487794837230155281e+03 2.463199017513026670e+07 7.771420375992676099e+02 4.158732614995455933e+10 -3.807286429956541443e+10 -6.674511512592343330e+09 2.139624583035623800e+03 -6.105997736725217692e+03 4.991295514040211856e+03 0.000000000000000000e+00
0.000000000000000000e+00 -2.781530519405767822e+11 -2.892995810206410522e+11 -1.947358335819067955e+09 4.098646097632197780e+04 -3.187260692483187086e+04 -1.395402704103083124e+03 3.025713290719685704e+07 7.952383998065039350e+02 2.016760038959017334e+11 -3.596329170533343506e+10 -6.582826939277789116e+09 -6.083962611581966485e+03 3.327961480252818728e+04 8.489668705821483172e+02 0.000000000000000000e+00
