Label Ep Ev t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.000000000000000000e+00 7.468517193873074709e-06 4.799284868972392148e-02 2.756481729811450232e-01 3.062014352057405020e-01 6.436983801060837118e-01 6.130335226829615181e-01 1.129495124803696626e-01 3.648450263015825534e-01 4.817346706387006239e-01 5.209623692227139946e-01
0.000000000000000000e+00 1.939391162900491183e-01 1.462196604690295387e-01 4.162740979663256957e-01 2.447382302866785153e-01 4.181166511601800417e-01 5.739218036483216823e-01 9.838482773951833238e-01 4.807940574332816852e-01 5.363541461212614214e-01 4.440136207235049204e-01
0.000000000000000000e+00 5.469954377941028956e-02 1.233354092110929418e-01 1.045906566739958632e-01 5.099397402780958544e-02 2.628210677982212862e-01 9.402687844881485457e-01 9.601877169391097588e-01 9.135122086703728606e-02 2.886215228111458364e-01 3.311009788819801458e-01
0.000000000000000000e+00 4.996106961285227133e-01 7.273482854473639625e-01 7.264743430877154129e-01 4.243319862018317679e-01 6.409477659092351898e-01 6.820450621626599208e-01 8.461350614540292803e-01 4.444988094889633645e-01 6.876547056501556288e-01 2.378572484895897787e-01
0.000000000000000000e+00 8.128491403799151804e-01 6.251434142318684772e-01 9.573176526237667794e-01 5.703831018078204806e-01 4.698796453019730146e-01 9.516249296231444887e-01 7.044552864130555481e-01 6.590002372985764856e-02 4.430953272621757089e-01 5.497691076048828451e-01
0.000000000000000000e+00 8.906871187261071641e-06 1.598389156747347661e-01 4.511402671495173267e-01 5.447808568952456909e-01 6.368405751815234828e-01 9.635765203954529401e-01 6.040274511977310468e-01 1.010720123725190045e-01 5.733274474289634659e-01 4.854766872676352651e-01
0.000000000000000000e+00 3.141591418014108017e-01 3.428967665520060160e-01 4.486260062986294206e-01 3.128299000493592885e-01 2.393883116222088048e-01 4.747040504393979510e-01 5.294416760367582908e-01 3.819183109136032872e-01 2.847772623525006708e-01 1.678640152383656936e-01
0.000000000000000000e+00 6.794912129358691155e-01 6.858577944748253108e-01 9.003682290735530724e-01 4.542285126220448888e-01 3.435807872531919660e-01 5.222207010693085127e-01 9.986903126461279534e-01 5.772288420699103195e-01 4.095569426207233965e-01 5.169183593570189084e-01
0.000000000000000000e+00 7.660205840932060608e-06 1.142667091070813656e-01 1.870530399124199494e-01 1.720097786445977661e-01 7.840832322295792078e-01 5.721667389917675095e-01 5.329457179296303027e-01 5.482117770140961799e-01 7.154414129610247031e-01 4.936809971016957177e-01
0.000000000000000000e+00 4.819234872868728980e-01 6.723988681233634690e-01 5.406748924977811122e-01 4.122978347958996537e-01 4.244567523889730687e-01 4.247768553214771314e-01 4.292548930158409104e-01 4.417198383821034358e-01 4.732723673020425292e-01 1.630327707719420038e-01
0.000000000000000000e+00 1.457085835868316137e-01 6.898273892601962387e-02 4.012655093692270580e-01 3.198430237522762454e-01 4.283923038208277689e-01 5.757261207426339622e-01 9.998247266776691955e-01 4.813630475123050756e-01 5.545650129283271612e-01 5.686944232716346637e-01
0.000000000000000000e+00 9.594596064783363076e-02 1.526301898379164579e-01 4.966444084588844121e-01 1.634565157724576778e-01 5.245021771312463610e-01 9.590624100795916984e-01 6.612413919830666398e-01 9.101064895736066251e-02 4.769891488582373440e-01 4.164350537508113570e-01
0.000000000000000000e+00 7.758433677623581548e-02 5.525773744475301341e-02 1.386271787518891796e-01 1.696039127724349171e-01 6.951112733558068024e-01 9.104603969548596965e-01 7.836585294577989025e-01 1.577749920987440158e-01 7.193753113215329842e-01 6.649086437191534804e-01
0.000000000000000000e+00 8.678555303589619019e-02 8.475552644594856744e-02 1.190929858864619995e-01 1.260939577756694518e-01 7.375581230490096951e-01 8.998063479741602588e-01 7.260980254736958406e-01 1.515121401368578757e-01 7.363366666697619412e-01 4.150753868820339920e-01
0.000000000000000000e+00 1.351953107552372191e-01 8.041349750717202705e-02 5.134440656347472043e-01 2.642256214968519146e-01 4.057658299806373714e-01 4.198143589056270719e-01 7.893660201238749119e-01 5.824985424405135781e-01 5.907138926742139251e-01 4.282600450913879864e-01
0.000000000000000000e+00 1.282382992037684744e-01 2.517136831238822037e-01 8.647634341243488620e-01 5.804923702822106790e-01 6.821655909358432801e-01 4.835371237693797397e-02 2.230364524160594053e-02 9.181968255551276048e-01 6.308619525918492954e-01 2.958798520000166521e-01
0.000000000000000000e+00 5.411383638601948709e-01 6.597665089590624143e-01 6.932906213952254593e-01 4.286485785162410522e-01 6.026734456262018425e-01 5.166619404226708845e-01 1.564104617438097922e-01 5.151342925629048830e-01 4.372313940331267745e-01 6.457052357789251351e-01
0.000000000000000000e+00 9.058456515859712732e-02 2.594881132708353189e-01 3.056265367112671050e-01 1.914569360483202587e-01 3.093349521582880457e-01 7.989680241473130495e-01 9.772951748937896976e-01 1.888086407333518513e-01 4.471573520249820244e-01 3.554731165947877525e-01
0.000000000000000000e+00 2.344406911019525086e-01 3.547362159026562489e-01 9.098280020298958881e-01 5.309277242916508044e-01 3.319161196299389438e-01 6.743026644119803903e-02 2.025282246146419274e-01 8.647953255067235556e-01 2.754685916199318685e-01 3.894270890754093495e-01
0.000000000000000000e+00 1.219597497982657930e-01 1.151145641386137619e-01 9.052790642206776095e-01 5.547400059057840949e-01 5.947236496144543416e-01 1.779237584012793860e-02 6.668880687868605772e-02 9.556629862995238422e-01 5.513733503880379194e-01 3.752351416956364316e-01
0.000000000000000000e+00 4.056603774790379369e-01 6.966699640000977301e-01 1.500594052204746731e-01 9.424335020975060928e-02 5.329531900298393188e-01 4.021091099906631272e-01 8.130699586695916414e-02 4.821533594797721145e-01 4.712044174628992610e-01 8.447309728963786624e-01
0.000000000000000000e+00 1.282106649824459876e-01 8.807883637081749539e-02 4.510336143073848114e-01 2.474797449185830445e-01 3.956206291570876221e-01 5.379531893231173090e-01 8.955589813956514877e-01 4.523177988068878275e-01 5.467778087281739419e-01 5.272059812280417423e-01
0.000000000000000000e+00 3.478877742227505787e-01 5.073942510476645573e-01 6.527432273987654465e-02 9.835684387998000489e-02 1.297599999670907001e-01 3.939663077942338054e-01 9.501923093094315487e-01 6.693344077627093602e-01 2.047816566940100502e-01 5.031386694535143755e-01
0.000000000000000000e+00 2.618461538093431185e-01 1.994130394212132729e-01 3.773367411260914461e-01 2.893154802356869837e-01 1.123195259933511547e-01 4.127247556383331073e-01 5.672961973654985224e-01 4.556619843186645036e-01 1.039842370730498233e-01 9.361834763571780238e-02
0.000000000000000000e+00 1.072423502774306481e-01 1.085302574113830437e-01 4.768412994883876599e-01 4.181712244351594165e-01 2.075343806140966807e-01 4.113813547716750896e-01 9.723051924823371550e-01 6.753996364030211419e-01 3.063206992478114121e-01 5.576744519456221516e-01
0.000000000000000000e+00 1.200673679167199581e-01 1.283118276152690751e-01 3.752216312735964787e-01 3.013959940078461130e-01 4.608045940273067798e-01 6.051821958290442005e-01 9.909004264562435438e-01 4.968003736245885094e-01 5.678979069864946716e-01 3.920276292822342246e-01
0.000000000000000000e+00 6.912538938739877514e-02 1.390121152505512103e-01 8.813723689434802555e-01 4.293948097249256080e-01 1.762530855099206373e-01 4.182847865497717477e-01 4.944807973858568739e-01 4.590344854069856040e-01 2.216806518231557721e-01 4.934750509019156794e-01
0.000000000000000000e+00 4.658292539921023434e-01 5.568239344395531365e-01 3.589900945581234182e-01 2.052884923222109137e-01 1.587956750960734520e-01 1.914588740300329772e-01 4.055842625720516015e-01 7.227350499255502658e-01 1.251401542741192863e-01 2.602189153756157003e-01
0.000000000000000000e+00 1.014000907766725024e-01 8.698190998073859759e-02 6.508247555753345903e-01 3.785009212247025800e-01 7.771727323641691720e-02 2.613508060328096905e-01 7.602320229912866711e-01 7.383350104300212546e-01 1.266972047871424700e-01 5.088755722012259231e-01
0.000000000000000000e+00 5.672480691617629578e-01 7.040825403725827769e-01 4.978144729985653494e-01 4.059010452467246566e-01 9.354866429574104636e-01 7.272340932432310723e-01 3.858195610377461171e-01 3.035137195847679159e-01 9.195465589010001217e-01 2.975390000433117965e-01
0.000000000000000000e+00 1.228754516945140963e-05 1.577976994811399469e-01 8.170474628237343051e-01 5.135637008006845861e-01 8.047410694743678539e-01 1.451986615193627816e-01 4.999952231164744854e-02 7.460083417928747851e-01 8.590914424923365988e-01 7.162449149411910243e-01
0.000000000000000000e+00 2.900432120483920073e-01 3.947386588592128875e-01 1.150145387859108914e-01 1.580627346936784861e-01 3.129521439244814518e-02 5.886269849317362635e-01 9.812733661905801430e-01 4.645896603446512119e-01 5.988761456561397800e-02 4.694974384771763987e-01
0.000000000000000000e+00 1.730196544098599187e-01 1.540766357105033124e-01 9.929321975039653303e-01 5.783446927991624520e-01 3.875772147156749670e-01 3.124679557033124278e-01 1.143632980539959765e-01 5.633439080126505516e-01 3.101361699994182874e-01 4.106866496403245304e-01
0.000000000000000000e+00 1.365805575529628058e-01 1.135577133411853484e-01 2.475383283410869661e-01 1.998130523049201912e-01 5.962588268248315559e-01 8.131905059008776027e-01 9.314961149989569034e-01 2.591132245973499781e-01 6.644617187125043678e-01 3.524919734973973595e-01
0.000000000000000000e+00 1.090753460953304832e-01 1.601561590319310890e-01 5.397965911256348281e-01 2.838999544205735859e-01 1.560326167085824833e-01 7.497815383190871152e-01 9.674655086811756455e-01 3.596592016755655874e-01 1.450808918405246950e-01 4.095088683095070570e-01
0.000000000000000000e+00 8.245166701896911032e-02 7.755260236705052712e-02 2.170794062360186794e-01 2.069221652164889846e-01 5.408693882470833048e-01 8.961094807683283037e-01 9.466765527625060628e-01 1.806703020192603759e-01 6.060107696247505338e-01 6.253862039427899866e-01
0.000000000000000000e+00 4.651209523962884784e-01 7.018437254597202912e-01 2.407123328394489281e-02 1.002851248912639548e-01 3.937204085584366520e-01 1.697220131991165060e-01 8.004659716172279893e-02 7.885022699678800873e-01 3.100494074227124752e-01 4.980194084009138544e-01
0.000000000000000000e+00 2.596988295748553152e-02 3.771252741074369863e-02 2.499848779691960510e-01 2.982857043091708960e-01 6.000850987644027468e-01 8.045897618088708736e-01 9.291390804814003701e-01 2.872913711842704498e-01 6.757052305900911326e-01 5.070340068144273404e-01
0.000000000000000000e+00 1.229597741819767331e-01 6.802813467691962157e-02 8.961296637434923440e-01 7.506279338858812267e-01 2.099389801462244187e-01 4.592432917213134513e-01 5.214257605120786732e-01 4.107193988370814730e-01 2.501183997244732504e-01 5.380070374997393268e-01
0.000000000000000000e+00 4.490105253916542583e-01 8.202695400926378611e-01 8.224732548687894162e-01 5.230409715441659557e-01 9.149533957769477865e-01 5.209722667526383022e-01 2.105864365889936751e-02 3.791687409517287555e-01 8.515788885483281945e-01 5.746133428541464472e-01
0.000000000000000000e+00 2.986398154188668735e-06 2.177137956828714971e-01 3.493778656162886409e-01 2.740149752690523854e-01 3.731014796990088089e-01 7.339367894423707295e-01 9.714377529680233714e-01 3.128771846920817001e-01 5.319882106311750736e-01 5.383784815828966952e-01
0.000000000000000000e+00 1.826941684892282892e-05 1.280418028473219449e-01 8.640766346737318582e-01 4.526417690481014944e-01 3.900292478334017598e-01 5.602778549485631920e-02 1.442228350967220130e-01 8.526141052780238372e-01 3.684993941778245685e-01 3.560014789613561437e-01
0.000000000000000000e+00 2.245543703295541926e-01 2.900387385566575715e-01 1.357613150741819319e-01 9.305318272026585902e-02 8.383472840802115300e-01 7.449095505033594966e-01 6.085971043429423410e-01 3.103371127142431352e-01 8.339676119440602164e-01 2.493723281054120444e-01
0.000000000000000000e+00 6.473405851727735694e-02 3.894153063920523239e-02 9.840591790495034630e-01 4.158622927655368784e-01 5.129643325794628339e-01 1.857878436370814512e-01 7.860496475873335331e-03 7.389835499041481626e-01 3.777976322745627558e-01 6.994004958592477950e-01
0.000000000000000000e+00 6.193686473901346273e-02 1.921836139347839201e-01 2.220752899728166141e-01 2.054797308486850937e-01 6.072558967613145287e-01 6.833668662250266257e-01 8.889125156622188495e-01 4.821538455191533568e-01 6.754369434458318278e-01 3.509074681444221966e-01
0.000000000000000000e+00 2.018694730818347272e-01 2.893366103448126170e-01 4.594960575489233645e-01 2.795246572634066951e-01 1.517432108378184985e-01 6.143741829625060102e-01 9.914122281800485936e-01 5.003039434591460832e-01 1.969630328718477430e-01 3.738755921918101577e-01
0.000000000000000000e+00 1.095874752536795532e-01 6.635611544338256007e-02 9.381212825180312853e-02 6.936699251534683697e-02 6.626458614086426779e-01 9.619823709631158959e-01 7.521521504132200331e-01 6.448827096257758740e-02 6.574964476458144969e-01 3.501689770960727532e-01
0.000000000000000000e+00 2.935135687334508026e-01 3.338460131253382923e-01 6.245925409466923650e-01 3.459148798266777902e-01 4.536866742400080255e-01 9.666532257451750931e-01 9.423011032199695158e-01 9.638080846566576820e-02 4.818902824667741780e-01 2.866149021804123009e-01
0.000000000000000000e+00 1.008190100164228775e-01 9.021376939375602699e-02 6.727319890697274207e-01 5.230924306651640876e-01 5.283103773520136937e-01 7.166856656779202472e-02 3.309711857510850841e-01 8.675603965806624185e-01 5.787608866616049674e-01 6.616801208873787088e-01
0.000000000000000000e+00 7.124932185852160815e-01 6.441190307109261326e-01 9.448976925881513722e-01 5.183658089384168832e-01 2.645779211172695766e-01 4.837046320388480036e-01 9.991843664514294954e-01 6.567952061649063866e-01 3.008016970324189909e-01 7.773916366576516523e-01
0.000000000000000000e+00 1.485688981000002297e-05 5.557174647667449674e-02 2.289036842173224895e-01 1.865828156031374974e-01 5.912821983922014191e-01 6.930270213302712756e-01 9.148256995057055807e-01 4.252209021846408143e-01 6.796344821560655891e-01 5.211384442835639286e-01
0.000000000000000000e+00 1.134046206774829922e-05 2.032706858652820470e-01 2.502388882573685636e-01 2.453078350193163004e-01 5.602054289076711102e-01 6.553806629610796630e-01 9.196476664168740101e-01 5.257606347102655731e-01 5.983949514967722427e-01 4.778277834130755242e-01
0.000000000000000000e+00 8.537229883196870150e-02 4.131191296615527309e-02 4.605614420913595741e-01 4.092943695299879892e-01 3.552780273187353677e-01 4.847905282610218136e-01 9.879488485663827646e-01 6.005502661323259828e-01 4.795913233194121217e-01 5.837742955743108197e-01
0.000000000000000000e+00 1.366588251046552960e-01 1.986078179513322828e-01 6.026860426948807969e-01 3.712475332526974370e-01 7.453221597865095083e-02 6.949131787055435883e-01 9.995463772767136934e-01 3.569726844357882234e-01 9.360966855917685070e-02 4.004975146757869253e-01
0.000000000000000000e+00 2.198891470234193568e-01 2.776085165440693170e-01 9.757019774851691807e-01 5.788559084025672874e-01 3.915813932204496028e-01 4.540869646066714727e-01 5.282416352972952867e-01 4.214277278949474792e-01 4.742015119027342407e-01 3.680179393955854694e-01
0.000000000000000000e+00 6.369914158944204319e-01 5.298538170398153779e-01 3.562212905063373847e-01 1.484294424637564447e-01 9.523119351056017479e-01 3.129858970022188491e-01 5.282167668763548818e-03 6.342894083570811414e-01 9.671566488716614174e-01 6.507495421393569845e-01
0.000000000000000000e+00 4.439815237945619608e-01 7.322287704595237257e-01 1.021239054545214353e-02 8.331539629642392697e-02 4.243367897497147823e-01 3.974572336988164700e-01 7.037643565758001651e-01 5.050768518296923082e-01 5.937154355927807270e-01 3.648652200447630722e-01
0.000000000000000000e+00 7.404599664360964617e-01 6.171880368757211022e-01 9.360493668385516663e-01 6.514757187246624781e-01 3.949712490733491288e-01 4.991439748171132007e-01 8.241684243390993148e-01 4.683484582439232935e-01 4.999092240548001498e-01 1.292986394602224087e-01
0.000000000000000000e+00 4.732701232040457673e-01 7.215854944004718163e-01 4.683283751936210826e-01 3.744231422252815022e-01 9.661220574273192696e-01 3.738038298335550902e-01 1.050126856045651147e-01 6.473327367340848681e-01 9.025504989192982830e-01 2.859215054668082234e-01
0.000000000000000000e+00 8.126170062214502034e-06 4.030813733514836128e-02 8.757768201228242066e-01 7.281708038400447336e-01 1.680473673245308497e-01 3.505633897257133258e-01 4.328305521079179874e-01 5.213554331449347101e-01 1.649545478728661196e-01 3.519313023096055648e-01
0.000000000000000000e+00 9.164077944627783967e-02 9.968005080680572561e-02 8.909941357045014776e-01 5.661701852347089670e-01 5.582096411667532010e-01 4.855544105046466496e-02 3.955039382456809749e-02 9.228851956953588731e-01 4.732401970368820820e-01 4.449907295888614334e-01
0.000000000000000000e+00 3.428743662341397491e-01 5.454343872399617377e-01 5.134210926141680176e-01 4.010886171685630330e-01 4.129660262201578780e-01 4.429646470119834589e-01 6.950838504525040928e-01 4.772613696110885040e-01 5.457938172361858076e-01 7.486383945807912887e-01
0.000000000000000000e+00 4.660734053068004146e-01 6.846002980831343843e-01 5.617815147789279040e-02 1.258790312727482430e-01 4.070326612356635620e-01 2.889273571873963720e-01 7.067721411925302899e-01 6.845949602222437536e-01 5.507300591371923071e-01 7.123289225296960403e-01
