Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 37.257144804128075 111250318.46600342 83196245.71053314 -162215936.5794773 10572.435537163794 1320.8866352369841 33.497285091598656 27395505.359890986 784.2571448041281 109938882333.13828 306008516161.7545 5493259261.77255 -33132.63024985303 24586.488296202915 750.1006208440125
0.0 136.18584395078267 -133886113144.74947 -57810783559.18515 22500713757.772972 -9789.445309712279 2796.211052309798 -4237.1896011768595 76234702.44147772 883.1858439507827 188359833394.37848 319157146554.83215 540278685.5734706 -47224.10697564743 28051.18700933983 6318.281306860114
1.0 167.62650757928907 943631.7047805786 1068755.5794677734 1135811.2491145134 6.464272042987432 1279.332919922238 537.7610705744576 74423791.45402652 914.6265075792891 340821828285.41504 -11762932874.643478 -4037747456.281838 6143.593769762938 52629.81603036578 -607.4243199279349
0.0 28.798141823804713 1914713.937614441 7989.923156738281 556797.9428717494 8984.923641055055 12742.25662087406 1066.1982226466223 29783457.21394859 775.7981418238047 -184268811430.48962 318363367143.60583 7985080534.935185 -38559.38390336862 -13783.867594942245 -139.6756960606187
0.0 23.214852215558608 -65599512677.881226 274057805159.55228 8275789057.320841 -37197.16255696064 996.4776471056393 95.62244014326697 27015694.21905827 770.2148522155586 -171626560059.32346 -266514784036.95544 2444505556.3890886 43799.32503798157 -11068.759810708805 -756.8126060867681
0.0 116.92389769328383 -15707271143.652267 -141960062240.68945 -1112353012.0017319 7117.184370428908 26190.83370389068 -534.0043289023158 59018980.01913266 863.9238976932838 -142802123698.22675 -279604405240.2401 1741342936.415093 37907.913052684235 -2675.9611308336134 -514.1310017316893
0.0 82.78396702051396 -2105182.573623657 2802049.907196045 3577419.903863907 -1751.9055839533685 5133.478996580648 332.9842112866875 51800960.83574992 829.783967020514 -39006034567.6729 -64611887791.124084 -1906050005.613682 -6148.770680142021 4522.031777935184 -432.78127702912735
0.0 68.38350085318416 -202113.4616546631 86396.0786743164 53843.75199055672 3991.6783588473227 -885.3839085551481 -599.2081894498125 33108084.374322064 815.3835008531842 77176836165.25963 74952643085.25696 -5127015073.146196 -10142.98645723843 -2434.8799431780717 203.96093005981012
0.0 105.6981495587379 -3715920.3817596436 -1485433.9891662598 3223147.02368927 -981.470522908894 -8673.045798871368 1398.3365370305237 58403921.79455697 852.6981495587379 97022840025.97061 3191738212.8865967 -1495213262.6995022 8881.279156346784 -693.6902073362471 1617.3052310613082
0.0 31.387972133920357 -169912888535.0938 246169264527.22852 2998879092.453619 -49555.47543758221 -16065.552646533302 300.54464971922766 18286198.68905069 778.3879721339204 -88780025589.40689 -88067719761.43358 4448445886.706394 9289.100490870842 11631.152212364428 -822.4083024144902
0.0 61.43240235981716 3670221860.2568054 494677344.8370743 -1101109912.0349193 3620.808927530845 1327.2049968372485 546.6779636072263 32302661.872707184 808.4324023598172 61209396216.06293 237680927496.007 6870721900.492963 -22841.570999303898 23956.416120240843 297.65186048959595
0.0 79.79730104378507 -18928754.296447754 11102560.639328003 -17616177.511799216 1757.8323493890948 2511.278746125783 6276.495458390972 51199921.86837721 826.7973010437851 -366625619395.4683 71501016799.62196 7803014110.721449 -51.8706416332825 -45918.07263767444 -3693.30429398685
