Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 6.798725696204348878e+01 1.344507197307214355e+11 -2.732350978151442871e+11 -4.964159614239118576e+09 3.447895645067556325e+04 3.119953276347699648e+04 -3.331419390389498858e+02 6.309644972051863372e+07 8.149872569620434888e+02 7.224559360531494141e+10 9.530725501254203036e-02 9.994664749769515133e-01 -1.878018592136953657e+00 -6.879000723069480516e-01 1.787535186489285222e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.568946808002215221e+01 1.237286534084831848e+11 4.925739394059329224e+10 1.894064363694638443e+10 8.613325854254879232e+03 1.647084483275539969e+04 7.738185233452643388e+02 3.167985972037594020e+07 7.926894680800221522e+02 8.338936582226351929e+10 5.042520887852565414e-02 9.967476663330609998e-01 1.380563146543379860e+00 -2.474159458155717140e+00 5.173108522856064262e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.360726852247819352e+01 6.001846355076480103e+10 2.043614350351365967e+11 1.558444386230013371e+09 -2.048696294809489336e+04 2.907198422382797071e+04 -8.794763584312405555e+02 2.531246035735701770e+07 7.906072685224781935e+02 3.336212677547988892e+10 3.569398886150896288e-01 9.993141563720869813e-01 4.438393632727484217e+00 -5.994217836000232946e-01 -1.365233620598319320e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.759209085377665360e+01 -1.745189894711881714e+11 -8.685569445862792969e+10 -2.435123186619039536e+10 1.280092934973197589e+04 -2.610792940687408918e+04 6.092280467991375190e+03 4.732967418432528526e+07 8.145920908537766536e+02 6.847531978601475525e+10 1.503665932788862958e-01 9.723819550742522910e-01 1.929908251155602272e+00 8.105566588507566728e-01 5.359862986474741575e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.280315708442697087e+01 -1.533555344665247192e+11 1.704207641994859924e+11 4.387575641829775238e+10 9.197214325884699065e+03 -1.810096945231727295e+04 4.636152031802612896e+02 5.351994153224413842e+07 8.198031570844269709e+02 1.036179340222378235e+11 2.079569677018832108e-01 9.912218760946382989e-01 1.726690946587997377e+00 -4.572559452814364711e+00 -1.833748708611416589e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.471395752104069743e+01 1.243616790576124878e+11 -1.187071009466292725e+11 1.922703961762775803e+10 1.051954123838271153e+04 2.607328896784076278e+04 1.907156186551513656e+03 3.293935256253059953e+07 7.917139575210406974e+02 6.918712023083038330e+10 6.274364523458281218e-02 9.976272923441782403e-01 -3.083122417051066044e+00 2.282982268578344076e-01 3.018491998090503170e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.912443827627532755e+01 -6.709723723736631775e+10 8.094852848461177063e+10 -1.126482782848585129e+10 -1.128731997147699803e+04 -1.515366671015464817e+03 -1.804982237488134615e+03 4.833492787956453860e+07 8.261244382762753276e+02 2.993206664565612793e+10 9.976887421824032209e-02 9.990374222209441601e-01 -2.644568541883600243e+00 1.092177057355070424e-01 -2.994196517844861738e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.164727128789081689e+01 -1.452693401491047058e+11 -3.025239328773677368e+11 1.930813820871100998e+10 4.801044235594081692e+04 -1.276788614977931684e+04 -1.607799127590401667e+03 7.236257257191950083e+07 8.286472712878908169e+02 7.691521291001275635e+10 8.441929638428727345e-02 9.980736591475450892e-01 4.083442185947840919e+00 6.751629865737474034e-02 3.425041124697187911e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.054547314778699274e+01 -3.796458613583436279e+11 -2.382973324673469543e+10 2.555500493158281326e+10 1.379535936806612335e+04 1.718489479010968353e+04 7.371162695997455785e+02 6.420663799212761968e+07 8.375454731477869927e+02 2.984835441773909912e+11 5.323058279752470590e-01 9.999052505477076247e-01 1.253758602345161233e+00 -4.523598192379918004e+00 -1.080472909356839484e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.477874144376678487e+02 3.574572460969332886e+10 9.007315117516236877e+10 1.471960193521991730e+10 -4.546671979748925878e+03 -7.293886728972418496e+03 -1.962001817288344455e+03 7.588862449833893776e+07 8.947874144376678487e+02 7.851561153115350342e+10 7.680677651872842848e-02 9.973981801040745498e-01 -4.514350015716012798e+00 3.052905873898351441e+00 1.830522278741586462e-03 0.000000000000000000e+00
